customerId:ID(Customer),CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,labels:LABEL
AA953,四通信息有限公司生物科技,陈欣,技术总监,新疆维吾尔自治区惠州县大兴阜新路O座 561431,斌市,澳门特别行政区,534331,中国,13369303814,,Customer
BG551,彩虹网络有限公司互联网服务,任雷,采购经理,江苏省雪梅市花溪北京路l座 382030,永安县,湖南省,565760,中国,14546634548,18611271938.0,Customer
CG280,商软冠联传媒有限公司大数据分析,宫雪,采购总监,海南省东莞市长寿大冶路J座 228868,成都县,云南省,834717,中国,18866466081,15241971551.0,Customer
CG663,济南亿次元传媒有限公司人工智能,翁斌,总经理,澳门特别行政区金凤市合川兰州街a座 855012,惠州县,贵州省,966972,中国,18527015167,13897314990.0,Customer
DE965,凌云科技有限公司生物科技,马倩,项目经理,云南省杭州市丰都乌鲁木齐路E座 391335,永安县,浙江省,832803,中国,15116594089,18121685287.0,Customer
EL529,菊风公司传媒有限公司云计算,蒋健,项目经理,天津市兵县怀柔芦路W座 419696,淑兰县,河南省,818508,中国,13888227445,14526806533.0,Customer
GG138,维涛网络有限公司数字科技,李桂芝,项目经理,台湾省杭州市崇文黄路n座 488092,阜新市,浙江省,677719,中国,13247911116,18751925958.0,Customer
IF750,联通时科科技有限公司区块链技术,李晨,CEO,四川省琳市和平游路k座 987677,娟县,重庆市,196354,中国,13822817853,,Customer
JV501,凌颖信息科技有限公司互联网服务,阎杨,运营总监,湖南省志强市长寿哈尔滨路K座 604144,宁德市,湖北省,570693,中国,18672393274,18038101236.0,Customer
KL704,凌云网络有限公司数字科技,许洋,采购总监,安徽省昆明市牧野胡街r座 575774,浩县,黑龙江省,241783,中国,13666124205,18618254273.0,Customer
NP351,通际名联网络有限公司信息技术,牛秀梅,技术总监,吉林省大冶市牧野太原路U座 192570,呼和浩特市,重庆市,969858,中国,13341203290,13884553843.0,Customer
OV840,惠派国际公司信息有限公司信息技术,张强,CTO,山东省红市门头沟关街y座 515672,淑兰市,陕西省,203876,中国,18282201499,,Customer
UP827,惠派国际公司信息有限公司智能科技,邵秀云,CTO,江西省玉市安次兴安盟街y座 171016,昆明市,重庆市,186990,中国,14727207567,13490362777.0,Customer
VD175,凌颖信息信息有限公司智能科技,唐兰英,CEO,黑龙江省呼和浩特县东城宋路L座 291001,关岭县,西藏自治区,929423,中国,15270224387,13387496521.0,Customer
VK239,图龙信息传媒有限公司虚拟现实,徐平,运营总监,上海市阜新县友好夏路v座 850746,畅市,山西省,207998,中国,15180934398,,Customer
WQ244,兰金电子传媒有限公司互联网服务,夏涛,采购经理,内蒙古自治区丽丽市浔阳罗街n座 981424,哈尔滨市,天津市,999224,中国,15699083741,13912652578.0,Customer
XE988,MBP软件网络有限公司金融科技,左兰英,CEO,吉林省桂兰县海陵辛集街N座 412094,莉县,陕西省,249216,中国,18149328473,,Customer
XO548,通际名联传媒有限公司移动应用开发,宋建,项目经理,湖南省石家庄县合川谭街e座 709678,慧县,黑龙江省,333368,中国,15153096085,13643560359.0,Customer
XQ641,商软冠联信息有限公司互联网服务,陈东,技术总监,西藏自治区建华市璧山尹路E座 291111,莉县,湖南省,829125,中国,18014931226,15125457335.0,Customer
ZJ727,海创信息有限公司大数据分析,谭洋,采购经理,云南省静市淄川武汉街w座 695016,福州市,江西省,574199,中国,18980336239,14771818605.0,Customer
